 CoachActivityB.smali: 313: setJavaScriptEnabled mention
 CoachActivity.smali: 313: setJavaScriptEnabled mention
 CommonWebviewActivity.smali: 102: setJavaScriptEnabled mention
 AdventureReportActivity.smali: 1612: setJavaScriptEnabled mention
 AdventureRegistrationInfoFragment.smali: 1802: setJavaScriptEnabled mention
 h$a.smali: 2357: setJavaScriptEnabled mention
 LinkTestActivity.smali: 463: setJavaScriptEnabled mention
cc.pacer.androidapp: CoachActivityB.smali: 313: setJavaScriptEnabled mention
cc.pacer.androidapp: CoachActivity.smali: 313: setJavaScriptEnabled mention
cc.pacer.androidapp: CommonWebviewActivity.smali: 102: setJavaScriptEnabled mention
cc.pacer.androidapp: AdventureReportActivity.smali: 1612: setJavaScriptEnabled mention
cc.pacer.androidapp: AdventureRegistrationInfoFragment.smali: 1802: setJavaScriptEnabled mention
cc.pacer.androidapp: h$a.smali: 2357: setJavaScriptEnabled mention
be.sciensano.coronalert: LinkTestActivity.smali: 463: setJavaScriptEnabled mention
com.bose.soundtouch: CGabboOAuthWindowActivity.smali: 636: setJavaScriptEnabled mention
com.bose.soundtouch: d.smali: 458: setJavaScriptEnabled mention
app.yulu.bike: NotificationActivity.smali: 334: setJavaScriptEnabled mention
app.yulu.bike: AppNotificationFragment.smali: 188: setJavaScriptEnabled mention
app.yulu.bike: TariffPlanFragment.smali: 70: setJavaScriptEnabled mention
app.yulu.bike: PranVayuWebViewFragment.smali: 132: setJavaScriptEnabled mention
app.yulu.bike: WebViewForFreshChat.smali: 514: setJavaScriptEnabled mention
app.yulu.bike: LeaseWebViewFragment.smali: 214: setJavaScriptEnabled mention
app.yulu.bike: PriveWebViewFragment.smali: 213: setJavaScriptEnabled mention
com.jaga.ibraceletplus.smartwristband: HtmlContentHelpActivity.smali: 113: setJavaScriptEnabled mention
com.jaga.ibraceletplus.smartwristband: HtmlContentActivity.smali: 258: setJavaScriptEnabled mention
com.bragasil.josemauricio.controleremotoskyhdtv: q.smali: 119: setJavaScriptEnabled mention
com.bskyb.android.skyplus: GenericHelpActivity.smali: 203: setJavaScriptEnabled mention
com.bskyb.android.skyplus: AccountLoginActivity.smali: 183: setJavaScriptEnabled mention
com.daimler.mm.android: ProductionLeafActivity.smali: 722: setJavaScriptEnabled mention
com.daimler.mm.android: UrlUtils.smali: 48: setJavaScriptEnabled mention
com.daimler.mm.android: SSOWebViewActivity.smali: 292: setJavaScriptEnabled mention
com.daimler.mm.android: AuthenticatedSSOWebViewActivity.smali: 166: setJavaScriptEnabled mention
com.daimler.mm.android: GuideVideoActivity.smali: 224: setJavaScriptEnabled mention
com.daimler.mm.android: NewsArticleActivity.smali: 476: setJavaScriptEnabled mention
com.daimler.mm.android: NewsArticleActivity$MultiVideoPagerAdapter.smali: 167: setJavaScriptEnabled mention
com.daimler.mm.android: LoginWebViewClient.smali: 96: setJavaScriptEnabled mention
adarshurs.android.vlcmobileremote: BrowseFragment.smali: 1860: setJavaScriptEnabled mention
com.comcast.cvs.android: WebActivity.smali: 220: setJavaScriptEnabled mention
com.att.shm: ExtenderUpgradeOrderFragment.smali: 476: setJavaScriptEnabled mention
com.att.shm: SpeedTestProgressFragment.smali: 466: setJavaScriptEnabled mention
com.att.shm: TechTrackerFragment.smali: 198: setJavaScriptEnabled mention
com.att.shm: IotActivationCardFragment.smali: 344: setJavaScriptEnabled mention
com.att.shm: TermAndConditionsBottomSheet.smali: 78: setJavaScriptEnabled mention
com.att.shm: EulaActivity.smali: 493: setJavaScriptEnabled mention
com.att.shm: IotTermsActivity.smali: 360: setJavaScriptEnabled mention
com.brother.mfc.brprint: WebBrowserActivity.smali: 3261: setJavaScriptEnabled mention
com.brother.mfc.brprint: EmailPrePreviewActivity.smali: 1272: setJavaScriptEnabled mention
com.brother.mfc.brprint: TeaserPageDialogFragment.smali: 448: setJavaScriptEnabled mention
com.brother.mfc.brprint: EvernotePrePreviewActivity.smali: 4043: setJavaScriptEnabled mention
com.directv.dvrscheduler: LegalTerms.smali: 542: setJavaScriptEnabled mention
com.directv.dvrscheduler: UpSell.smali: 82: setJavaScriptEnabled mention
com.directv.dvrscheduler: VoiceHelp.smali: 434: setJavaScriptEnabled mention
com.directv.dvrscheduler: TermsAndConditionsActivity.smali: 615: setJavaScriptEnabled mention
com.cyberlink.remotecontrol_free: GDPRPageView.smali: 619: setJavaScriptEnabled mention
chromecast.tv.cast.caster: VideoEnabledWebView.smali: 278: setJavaScriptEnabled mention
chromecast.tv.cast.caster: WebView.smali: 473: setJavaScriptEnabled mention
com.tplink.iot: PrivacyPolicyActivity.smali: 320: setJavaScriptEnabled mention
com.bragasil.josemauricio.remotecontrol: w.smali: 322: setJavaScriptEnabled mention
